mood,focus,energy,overwhelm,anxiety,available_minutes,current_context,stage,stage_label,variant
2,2,2,2,2,75,any,1,Initiation Failure,moderate_all
2,2,1,3,5,48,desk,3,Overwhelm Freeze,some_energy
1,2,1,5,5,79,outside,3,Overwhelm Freeze,classic
3,1,2,2,1,160,phone,4,Urgency Dependency,good_mood
2,3,1,3,5,48,phone,3,Overwhelm Freeze,some_energy
4,1,4,2,4,99,phone,2,Decision Paralysis,classic
2,1,4,3,1,128,any,4,Urgency Dependency,classic
4,2,4,3,2,87,outside,2,Decision Paralysis,good_mood
1,1,1,4,5,67,desk,3,Overwhelm Freeze,anxiety_dom
3,4,1,4,1,70,any,1,Initiation Failure,moderate_all
4,2,3,3,4,112,outside,2,Decision Paralysis,good_mood
2,1,4,2,1,229,desk,4,Urgency Dependency,procrastination
1,2,2,1,1,42,outside,1,Initiation Failure,classic
3,2,2,3,3,78,outside,2,Decision Paralysis,good_mood
3,1,1,3,4,58,outside,3,Overwhelm Freeze,some_energy
4,1,4,3,3,66,any,2,Decision Paralysis,all_moderate
3,4,1,1,2,34,outside,1,Initiation Failure,focus_ok
2,3,3,3,5,68,outside,3,Overwhelm Freeze,some_energy
1,3,2,3,3,53,outside,1,Initiation Failure,low_mood
3,4,1,2,2,65,phone,1,Initiation Failure,mild_anxiety
1,2,3,3,3,54,outside,1,Initiation Failure,low_mood
3,1,3,2,2,116,desk,2,Decision Paralysis,good_mood
3,3,2,5,3,81,desk,3,Overwhelm Freeze,overwhelm_dom
3,3,4,2,2,123,desk,4,Urgency Dependency,classic
1,1,1,5,4,26,any,3,Overwhelm Freeze,overwhelm_dom
2,1,2,3,4,72,any,3,Overwhelm Freeze,mood_ok
3,2,4,2,2,92,outside,4,Urgency Dependency,good_mood
1,4,2,1,3,57,outside,1,Initiation Failure,low_mood
3,2,3,4,4,109,outside,2,Decision Paralysis,high_energy
5,1,3,4,3,65,any,2,Decision Paralysis,good_mood
4,2,3,3,3,54,desk,2,Decision Paralysis,classic
4,3,2,2,2,197,phone,4,Urgency Dependency,mild_scatter
2,5,3,2,3,105,phone,1,Initiation Failure,focus_ok
1,2,2,3,2,48,any,1,Initiation Failure,low_mood
3,2,3,3,3,50,desk,1,Initiation Failure,classic
1,2,1,3,2,49,desk,1,Initiation Failure,low_mood
5,1,2,1,1,61,desk,4,Urgency Dependency,good_mood
5,1,3,2,2,50,phone,2,Decision Paralysis,good_mood
3,2,2,2,3,72,desk,2,Decision Paralysis,anxious_spin
4,1,5,2,4,118,outside,2,Decision Paralysis,high_energy
4,1,3,4,5,90,phone,2,Decision Paralysis,anxious_spin
1,3,1,4,5,83,desk,3,Overwhelm Freeze,classic
3,2,1,2,1,99,phone,1,Initiation Failure,moderate_all
4,3,2,5,3,43,any,3,Overwhelm Freeze,mood_ok
2,1,3,2,2,71,outside,2,Decision Paralysis,classic
2,2,2,2,1,233,outside,4,Urgency Dependency,mild_scatter
4,3,2,2,1,72,any,4,Urgency Dependency,classic
3,1,4,2,1,203,phone,4,Urgency Dependency,classic
2,2,2,4,3,86,outside,2,Decision Paralysis,all_moderate
5,3,5,2,1,77,any,4,Urgency Dependency,high_energy
3,2,1,4,5,39,any,3,Overwhelm Freeze,mood_ok
3,3,3,3,5,20,desk,3,Overwhelm Freeze,some_energy
2,1,1,4,5,71,any,3,Overwhelm Freeze,overwhelm_dom
3,2,4,4,2,103,outside,2,Decision Paralysis,high_energy
2,3,2,3,4,54,any,1,Initiation Failure,mild_anxiety
3,3,5,1,1,180,any,4,Urgency Dependency,high_energy
2,3,3,1,2,43,desk,1,Initiation Failure,low_mood
4,1,3,1,1,218,outside,4,Urgency Dependency,good_mood
1,2,2,5,5,31,any,3,Overwhelm Freeze,classic
1,4,2,2,3,115,phone,1,Initiation Failure,low_mood
2,3,2,2,1,79,desk,1,Initiation Failure,focus_ok
3,2,2,2,2,88,phone,1,Initiation Failure,mild_anxiety
3,2,2,2,2,236,any,4,Urgency Dependency,good_mood
4,2,5,2,3,30,phone,2,Decision Paralysis,high_energy
1,2,1,5,3,59,any,3,Overwhelm Freeze,overwhelm_dom
1,3,1,3,5,23,outside,3,Overwhelm Freeze,some_energy
3,1,5,1,1,165,outside,4,Urgency Dependency,high_energy
1,3,2,4,4,49,phone,3,Overwhelm Freeze,anxiety_dom
1,1,1,5,5,74,desk,3,Overwhelm Freeze,classic
2,2,4,4,4,48,desk,2,Decision Paralysis,high_energy
2,5,2,1,1,47,desk,1,Initiation Failure,focus_ok
3,3,1,4,1,43,any,1,Initiation Failure,moderate_all
1,3,3,1,3,105,any,1,Initiation Failure,mild_anxiety
2,2,2,5,3,43,phone,3,Overwhelm Freeze,overwhelm_dom
3,4,3,2,3,44,any,1,Initiation Failure,focus_ok
4,3,3,3,4,86,phone,2,Decision Paralysis,all_moderate
3,2,5,3,1,100,desk,4,Urgency Dependency,high_energy
3,4,2,1,2,83,outside,1,Initiation Failure,classic
4,2,3,2,2,121,phone,4,Urgency Dependency,good_mood
4,1,2,4,4,89,outside,2,Decision Paralysis,anxious_spin
